889 916
518 834 -987
410 209 150
597 715 -188
198 56 612
779 863 -305
719 720 -389
708 564 -222
555 787 290
823 642 190
612 750 -902
680 468 -174
94 343 91
539 363 837
576 723 -77
605 797 401
787 513 872
560 356 -177
392 531 457
153 371 -59
603 527 412
253 446 471
262 302 -361
660 604 -87
507 775 763
373 75 -292
424 459 464
242 875 -334
693 90 -632
796 223 -49
600 859 -594
772 267 100
352 143 656
321 400 -562
834 26 702
109 106 48
735 533 -28
133 276 332
4 466 -753
575 383 8
749 382 -529
571 271 -253
268 370 -995
174 689 -199
624 38 991
283 226 115
632 799 -615
407 251 -529
182 872 635
578 37 284
143 8 353
376 490 606
775 282 724
69 865 59
395 365 -209
400 202 -265
257 378 833
706 332 -916
610 154 599
502 635 -117
20 596 623
409 811 365
785 664 794
719 98 -91
406 391 -988
423 117 -9
507 472 -649
325 184 -560
501 240 -334
417 464 -106
7 353 -584
37 142 290
252 178 428
797 533 -49
364 799 -423
778 359 706
446 102 -326
294 147 40
519 308 628
534 407 -842
872 381 724
351 394 -515
573 533 -65
11 129 -512
627 694 -724
482 633 556
312 676 139
725 189 -771
794 535 -174
382 606 -149
265 810 228
833 219 -498
651 221 -741
385 790 403
84 652 -191
794 388 -503
160 164 784
478 616 926
170 29 614
75 635 0
258 630 262
361 851 855
546 264 314
837 113 -909
549 484 502
306 871 323
882 122 113
213 859 -613
796 577 -880
830 211 426
252 157 147
645 14 -9
156 888 -395
441 319 998
765 266 -208
422 407 -985
721 499 -642
290 494 104
718 270 79
403 794 512
879 563 350
445 3 -390
622 885 -531
78 337 919
187 147 883
753 769 -392
678 875 -184
668 22 -714
826 224 856
395 610 305
471 468 154
4 74 963
223 209 958
195 359 574
848 335 763
32 671 -302
210 812 -189
213 390 -366
875 474 -894
853 385 982
820 449 -242
357 341 -729
741 807 -564
689 67 -694
862 721 -234
825 420 -179
225 689 -951
254 177 -306
331 812 -251
840 96 -107
862 427 295
538 330 943
406 728 611
542 254 875
37 833 603
143 684 -83
72 114 -547
598 737 -130
645 102 -314
150 746 -569
423 816 579
643 888 -18
398 117 971
438 648 -893
733 379 532
100 782 -921
346 492 -662
598 695 995
341 262 -51
632 286 570
114 171 335
847 810 -516
522 530 116
411 166 -94
619 90 -98
46 188 -110
768 546 304
396 772 807
686 879 827
758 86 -177
774 570 -141
614 561 -887
621 442 -171
476 757 208
651 275 351
365 308 -274
834 217 -595
228 216 34
90 108 -930
549 513 784
812 27 -395
509 208 479
165 875 244
387 748 -326
482 573 -849
601 374 320
393 625 906
316 140 38
397 751 -88
700 611 827
214 63 398
518 516 195
83 208 -904
773 784 889
571 778 852
565 313 -731
862 574 -977
551 609 -23
120 686 -595
717 584 792
435 43 -596
654 259 586
328 260 -208
781 850 -566
143 689 362
5 92 -70
679 59 -69
536 397 -995
594 714 585
640 48 -333
539 886 366
732 425 242
576 427 -154
234 258 584
138 671 -734
316 525 73
389 503 360
601 816 573
4 875 323
709 623 445
356 193 996
673 6 -503
723 440 -439
560 603 -976
454 311 37
602 501 389
307 383 -370
865 357 615
755 26 796
199 254 666
528 332 -299
523 541 94
713 434 -469
568 302 599
154 662 58
321 879 -433
602 884 796
322 334 -677
623 880 751
283 865 -752
296 698 784
197 219 -767
810 788 -327
502 466 586
645 289 88
761 333 925
392 436 228
796 770 142
223 264 -51
570 479 398
