911 2715
866 406 30
695 710 262
486 632 802
639 7 986
377 239 593
852 813 559
328 315 788
460 77 836
270 867 200
600 826 596
495 177 951
844 164 581
351 491 564
570 146 435
873 734 450
592 437 308
542 250 51
645 826 14
343 798 373
506 71 323
267 783 207
255 373 562
745 561 101
354 112 829
153 168 655
608 799 217
800 449 437
256 59 432
304 198 877
889 582 890
200 30 536
496 205 354
57 154 757
508 705 745
264 699 824
468 251 201
847 750 933
456 733 977
133 789 656
452 818 28
666 542 39
28 98 330
125 537 490
283 395 676
485 277 776
330 384 85
474 46 112
465 144 879
593 283 451
612 14 522
112 28 770
171 565 691
798 776 406
139 490 564
425 693 199
733 32 919
607 572 409
842 615 596
882 554 692
499 461 741
806 75 707
357 61 292
187 57 566
435 383 911
336 208 230
268 347 46
251 507 988
483 415 86
859 45 556
906 276 835
557 888 799
318 548 210
845 222 803
370 467 214
623 632 727
810 280 31
441 413 664
754 799 751
449 201 924
66 342 778
565 910 957
280 585 384
87 240 554
330 878 83
199 715 316
284 407 948
684 772 683
506 51 647
320 395 762
440 752 192
305 326 454
49 271 483
551 522 849
811 92 688
753 465 458
116 801 606
426 301 139
595 783 539
643 783 249
574 228 592
689 91 205
122 52 88
255 689 131
256 271 537
210 871 397
47 489 563
601 207 960
671 780 58
14 665 567
479 60 239
97 355 601
114 538 921
659 260 273
761 624 128
569 68 239
295 792 868
131 158 594
789 10 685
8 836 112
323 476 903
513 570 393
24 342 594
802 755 521
870 291 270
718 705 399
696 43 867
819 869 227
603 364 42
682 196 308
784 250 696
876 434 295
333 521 948
398 188 786
717 609 585
861 306 337
858 659 324
145 549 474
778 540 191
364 811 786
9 86 365
98 352 109
544 400 633
79 391 4
804 668 262
630 663 292
359 717 105
245 765 382
324 34 25
380 406 936
911 495 929
74 847 175
796 604 234
403 336 849
72 897 246
207 86 239
268 554 65
721 542 431
620 545 194
890 272 377
100 408 437
872 706 569
856 243 864
307 761 306
217 636 590
57 316 113
51 475 94
902 449 196
544 406 849
219 519 686
163 647 381
848 582 98
49 254 329
911 100 658
418 143 192
432 791 722
431 234 150
807 816 650
768 716 919
215 502 54
434 139 238
186 685 539
601 326 955
805 362 426
740 343 975
453 772 764
504 740 226
865 39 580
558 757 20
637 765 231
76 637 873
553 162 190
660 497 529
94 150 770
848 215 214
437 409 818
207 681 886
171 893 695
77 343 138
382 887 550
544 116 398
164 705 280
464 16 516
17 90 465
35 388 66
692 411 890
438 904 954
558 267 656
360 179 987
463 654 109
898 236 20
709 547 223
535 476 728
510 562 786
158 165 991
534 398 611
673 364 328
860 401 133
654 244 498
822 281 305
280 225 634
137 614 325
149 189 733
325 303 542
198 861 730
220 847 721
518 360 873
291 882 356
177 543 23
56 770 259
398 491 209
886 221 742
908 601 707
463 175 453
480 837 495
354 98 587
414 683 239
170 362 981
364 532 930
805 874 288
112 569 115
373 761 700
774 811 767
118 569 399
360 123 883
657 827 766
85 383 358
840 587 882
894 506 892
349 450 187
798 471 344
261 711 699
136 457 31
68 803 552
365 484 622
648 856 125
714 667 103
21 196 806
41 45 308
641 112 239
609 272 777
363 6 447
552 24 360
182 24 914
21 681 703
752 158 40
609 491 379
841 721 904
23 277 672
632 151 165
723 677 482
176 293 31
744 776 693
903 242 852
486 4 236
715 300 322
492 222 293
48 762 254
13 416 898
904 416 723
687 891 415
867 335 516
46 539 121
541 249 847
804 870 327
497 241 992
172 838 372
897 309 946
47 820 204
676 772 389
823 625 922
422 797 429
224 356 594
550 357 402
116 402 123
669 165 737
379 562 664
47 9 796
853 889 196
92 278 255
66 292 912
58 438 550
140 847 634
610 504 941
901 662 676
757 815 469
879 544 132
766 184 53
286 711 93
452 748 598
265 282 874
325 115 569
650 476 351
417 907 498
151 146 389
57 587 357
699 911 320
228 315 690
248 544 582
549 83 296
315 79 469
518 343 544
797 556 691
193 330 777
439 75 960
898 289 242
442 418 48
335 358 680
563 459 977
485 197 830
245 471 73
475 872 217
647 614 228
180 197 616
490 255 254
482 106 743
650 98 356
830 380 20
564 608 181
338 904 645
714 491 895
513 176 736
670 797 746
461 833 478
746 215 668
526 335 52
395 671 42
529 803 625
814 557 218
573 313 62
314 671 72
612 1 19
666 308 978
750 731 950
196 714 481
85 300 950
583 320 367
755 738 904
906 20 117
559 472 30
38 587 910
729 715 516
807 765 644
627 540 654
676 904 859
693 243 127
797 315 757
423 324 44
434 733 767
327 247 816
823 2 283
714 716 533
279 848 582
785 162 464
593 127 334
479 163 46
162 35 100
428 485 17
339 512 869
415 724 673
343 466 870
573 298 311
8 562 604
587 902 723
248 313 954
519 844 137
897 843 920
152 404 745
288 182 125
356 464 59
306 757 478
276 94 90
683 385 908
200 587 723
465 128 95
462 243 579
102 306 845
298 683 115
726 218 740
837 201 67
232 343 293
360 819 92
548 604 149
63 879 933
898 780 8
198 265 554
72 93 202
250 169 83
156 413 580
550 689 961
830 300 781
125 673 819
403 43 959
464 141 372
614 271 867
62 330 594
133 500 599
771 729 964
787 546 522
86 144 820
436 774 947
291 93 215
243 546 68
403 314 984
366 579 89
237 107 611
724 638 743
856 252 343
131 620 447
872 157 822
817 103 720
765 368 713
85 299 471
325 123 120
76 747 828
751 539 50
829 774 835
340 218 666
877 343 747
541 486 599
62 736 6
483 812 633
297 780 323
341 751 606
882 691 512
318 259 627
393 827 605
641 526 850
308 223 762
382 749 528
235 301 278
248 173 880
41 242 897
816 767 769
302 433 182
574 598 217
862 897 566
189 216 831
731 739 318
645 588 831
434 320 279
126 328 118
456 18 412
841 245 661
877 665 386
439 205 713
194 502 922
264 138 654
344 303 210
434 469 940
786 290 294
661 234 430
91 354 954
245 727 218
19 529 620
249 381 556
15 152 106
298 220 781
327 383 238
341 357 235
574 108 240
378 667 412
894 640 5
804 458 429
277 119 172
788 273 975
650 665 736
727 234 624
849 264 10
2 177 551
616 105 40
293 294 663
173 512 161
80 472 498
392 43 628
884 192 582
601 153 918
826 366 769
110 322 418
233 890 746
170 128 453
535 262 514
151 637 816
156 633 505
462 527 165
871 272 268
88 44 348
763 703 48
516 366 682
901 13 936
183 225 984
128 4 614
74 729 873
729 812 243
435 142 610
784 211 592
498 459 706
747 325 259
812 372 611
775 407 754
427 807 527
526 669 23
751 606 826
9 594 79
427 96 406
712 551 563
425 245 911
696 606 549
536 893 19
878 395 106
465 869 122
574 112 237
213 418 190
773 146 236
507 528 39
191 134 447
588 833 28
170 338 95
497 451 36
402 508 800
261 702 934
17 784 645
892 809 962
769 164 723
692 690 801
118 352 464
760 830 730
202 318 658
804 360 535
280 875 891
601 692 274
844 775 314
420 308 936
409 323 707
681 373 278
635 463 143
474 899 325
779 808 717
661 846 444
585 321 44
538 858 249
147 763 871
106 496 656
751 324 977
583 788 663
662 147 501
482 901 977
567 55 334
565 725 639
819 725 374
835 296 737
65 616 451
637 149 420
433 735 787
613 828 681
314 156 131
891 568 897
729 666 19
866 761 32
26 758 84
575 764 392
520 824 806
176 659 680
676 897 746
774 751 120
247 195 23
598 68 768
387 51 698
344 146 243
855 453 935
107 375 907
654 630 248
135 268 818
856 760 617
225 427 315
204 26 468
200 846 469
207 527 480
309 799 888
770 137 803
354 617 154
452 850 876
195 66 106
696 294 387
89 661 968
377 405 23
168 479 574
683 568 327
354 352 563
852 484 531
457 401 682
117 728 346
702 615 230
166 670 298
856 295 6
41 416 685
115 330 900
60 284 741
350 61 911
740 312 320
208 454 671
432 189 270
79 850 762
31 181 732
867 699 865
734 739 335
58 718 355
292 341 315
828 790 203
885 77 158
847 103 203
785 271 306
803 266 642
823 627 790
553 549 715
714 465 754
18 735 460
780 616 368
384 14 683
196 660 119
602 94 442
420 719 760
138 804 575
394 880 672
586 249 754
350 331 237
862 2 402
819 735 144
274 179 252
430 133 737
145 440 883
614 124 813
486 385 673
185 853 263
156 288 194
158 154 807
349 744 323
525 326 43
463 43 565
455 341 72
637 322 812
406 900 752
631 336 59
299 725 26
881 724 312
139 34 94
783 532 171
387 739 590
262 823 816
446 547 108
889 223 232
794 225 437
818 312 664
582 350 385
804 865 362
741 834 449
358 46 361
714 460 38
825 328 199
51 230 253
762 204 748
615 295 769
50 172 613
189 302 249
167 709 551
743 10 760
328 23 78
726 608 216
230 316 296
119 660 349
381 543 550
855 659 714
373 293 655
206 176 496
158 430 230
753 211 478
773 448 134
578 840 457
313 18 851
339 557 890
193 804 422
400 173 977
223 833 175
857 121 722
273 692 432
28 446 850
579 149 102
801 375 162
361 521 111
68 830 409
55 802 638
65 828 434
610 581 646
76 522 847
115 559 348
440 221 519
626 841 452
631 510 827
201 105 175
667 581 988
868 893 865
115 852 699
37 524 218
628 889 616
586 698 795
618 766 672
464 210 824
801 271 263
168 308 262
777 641 238
207 682 992
849 285 214
383 731 816
17 416 718
516 489 662
23 822 842
560 132 933
647 271 978
280 137 704
43 183 379
898 582 784
907 415 265
817 279 471
295 856 119
506 192 644
813 97 707
685 718 796
590 841 891
55 372 144
646 390 292
44 73 601
42 426 864
856 245 867
821 361 177
63 657 297
172 30 935
660 841 850
528 1 841
831 398 178
834 333 153
688 798 599
42 718 503
196 354 582
755 738 18
78 628 314
842 374 200
442 14 729
739 118 825
272 155 989
166 58 658
715 132 235
94 594 355
593 304 793
867 302 948
65 533 590
409 481 117
454 652 448
268 597 772
67 317 785
223 64 202
410 782 367
408 587 615
135 626 75
584 560 697
318 95 593
247 189 959
701 634 995
535 696 984
615 228 694
226 140 938
457 611 839
473 560 566
515 749 510
184 550 442
803 289 673
326 458 234
763 379 845
335 195 662
177 683 206
400 74 40
554 404 934
245 385 905
855 530 946
76 372 913
106 611 396
452 399 756
549 3 698
5 43 953
242 774 623
367 539 125
841 215 156
731 126 783
872 440 951
599 420 175
778 174 745
544 858 210
50 808 719
179 701 733
809 590 436
911 226 546
37 162 17
687 252 959
369 356 58
864 608 644
637 814 469
131 816 754
389 629 641
85 813 957
481 560 401
544 67 639
273 587 428
99 501 459
500 120 845
271 673 462
482 743 652
716 52 796
865 742 190
799 435 44
434 612 951
132 784 95
805 60 288
174 448 554
885 827 604
470 155 846
46 654 527
300 666 961
860 272 992
714 388 600
514 105 103
56 581 459
657 160 387
176 339 61
212 167 535
665 637 849
569 544 451
747 8 93
142 686 206
876 350 915
499 83 721
728 508 478
829 213 868
712 736 654
513 705 865
735 172 45
432 171 347
668 635 339
893 763 121
830 614 946
573 205 129
748 787 883
791 525 143
114 60 822
882 104 416
340 159 374
134 906 748
13 98 173
385 895 616
231 94 258
419 369 308
643 203 956
225 663 843
355 691 102
512 213 945
31 12 195
572 212 498
296 350 702
24 664 189
715 96 985
521 376 882
617 906 545
486 443 844
664 524 762
176 699 490
632 769 877
874 390 966
